artistName|artistUri|songName|songUri|songDuration|songPopularity|played_at
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|What a Fool Believes|spotify:track:2yBVeksU2EtrPJbTu4ZslK|223866|72|2021-04-15T15:52:13.893Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Long Train Runnin'|spotify:track:4nXkbcTj3nyww1cHkw5RAP|207266|73|2021-04-15T15:48:29.544Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Mamaloi - Live at The Beacon Theater, New York, NY, 11/18/2018|spotify:track:6oZreQzAmDcbmqmd5lSNaZ|204728|19|2021-04-15T15:44:32.509Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Rockin' Down the Highway - Live at The Beacon Theatre, New York, NY, 11/18/2018|spotify:track:3coGearGaNXjzrnZsWT56y|217385|22|2021-04-15T15:41:06.766Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Listen to the Music - Live at The Beacon Theatre, New York, NY, 11/18/2018|spotify:track:1m9LekCB6IoU53umU4GhFx|300655|25|2021-04-15T15:37:29.440Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Jesus Is Just Alright with Me - 2007 Remaster|spotify:track:3voA7jcES21idqh8dflNim|274680|50|2021-04-15T15:32:28.258Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Another Park, Another Sunday|spotify:track:6K1Wr66UPDkfsS4lrNdY9e|267800|47|2021-04-15T15:27:53.106Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|It Keeps You Runnin'|spotify:track:5wFdcY9O6cEn1PL6V3AEmu|257079|54|2021-04-15T15:23:24.811Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Minute by Minute|spotify:track:37oLDb3119IdKSIFQmSGRj|206973|56|2021-04-15T15:19:07.252Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Takin' It to the Streets|spotify:track:1WDgdCoNSN0fosaTaLGXKU|231600|57|2021-04-15T15:15:39.794Z
